T	E_media	Cv	M_bot	M_top	Chi_bot	Chi_top
1	-1.63553	0.0886845	0.135733	-0.135733	0.0120554	0.0120554
1.1	-1.70455	0.0903614	0.174548	-0.174548	0.0241221	0.0241221
1.2	-1.77216	0.125642	0.333798	-0.333798	0.0508211	0.0508211
1.3	-1.76556	0.125355	0.366688	-0.366688	0.0194295	0.0194295
1.4	-1.72365	0.198883	0.231071	-0.231071	0.0472858	0.0472858
1.5	-1.66421	0.206642	0.00152422	-0.00152422	0.0994518	0.0994518
1.6	-1.68539	0.299753	0.336894	-0.336894	0.106383	0.106383
1.7	-1.66595	0.390267	0.467702	-0.467702	0.148483	0.148483
1.8	-1.62083	0.429477	0.403495	-0.403495	0.0526627	0.0526627
1.9	-1.66492	0.352889	0.782605	-0.782605	0.182742	0.182742
2	-1.61896	0.517326	0.76122	-0.76122	0.142817	0.142817
2.1	-1.62396	0.421719	0.843602	-0.843602	0.111606	0.111606
2.2	-1.46323	0.431933	0.668795	-0.668795	0.231044	0.231044
2.3	-1.32751	0.530147	0.48081	-0.48081	0.597661	0.597661
2.4	-1.27166	0.336685	0.599137	-0.599137	0.188454	0.188454
2.5	-1.16453	0.575798	0.302104	-0.302104	0.132786	0.132786
2.6	-1.14858	0.414322	0.292383	-0.292383	1.30488	1.30488
2.7	-1.0534	0.388117	0.385634	-0.385634	0.533334	0.533334
2.8	-0.975315	0.420336	0.188282	-0.188282	0.568715	0.568715
2.9	-0.924928	0.506468	-0.0290695	0.0290695	0.360813	0.360813
3	-0.872316	0.452932	0.208966	-0.208966	0.123978	0.123978
3.1	-0.823268	0.279485	0.230278	-0.230278	0.235668	0.235668
3.2	-0.805288	0.300245	0.0692953	-0.0692953	0.223059	0.223059
3.3	-0.780911	0.231343	0.253428	-0.253428	0.197031	0.197031
3.4	-0.730289	0.249733	0.134172	-0.134172	0.423569	0.423569
3.5	-0.711978	0.261233	0.11947	-0.11947	0.567117	0.567117
3.6	-0.685997	0.250522	0.144669	-0.144669	0.22226	0.22226
3.7	-0.651095	0.218009	0.0665195	-0.0665195	0.292809	0.292809
3.8	-0.633407	0.181184	0.0783688	-0.0783688	0.428985	0.428985
3.9	-0.632613	0.18122	-0.00308828	0.00308828	0.240206	0.240206
